# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#  Hoogste uurgemiddelde winsnelheid 10 m in tiende m/s
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);
#
# STN,YYYYMMDD,  FHX
#
  240,20170927,   40
  240,20170928,   50
  240,20170929,   60
  240,20170930,   50
  240,20171001,  100
  240,20171002,  100
  240,20171003,   90
  240,20171004,  110
  240,20171005,  170
  240,20171006,  100
  240,20171007,  100
  240,20171008,   50
  240,20171009,   50
  240,20171010,   80
  240,20171011,  100
  240,20171012,   90
  240,20171013,   90
  240,20171014,   70
  240,20171015,   60
  240,20171016,   80
  240,20171017,   70
  240,20171018,   40
  240,20171019,   60
  240,20171020,  110
  240,20171021,  100
  240,20171022,  100
  240,20171023,   80
  240,20171024,   90
  240,20171025,  100
  240,20171026,   70
  240,20171027,   70
  240,20171028,  140
  240,20171029,  140
  240,20171030,   50
  240,20171031,   80
  240,20171101,   70
  240,20171102,   60
  240,20171103,   40
  240,20171104,   70
  240,20171105,   70
  240,20171106,   40
  240,20171107,   30
  240,20171108,   30
  240,20171109,   70
  240,20171110,  110
  240,20171111,   80
  240,20171112,   60
  240,20171113,   70
  240,20171114,   70
  240,20171115,   50
  240,20171116,   50
  240,20171117,   50
  240,20171118,  100
  240,20171119,   90
  240,20171120,   90
  240,20171121,   90
  240,20171122,  100
  240,20171123,  140
  240,20171124,   50
  240,20171125,   70
  240,20171126,   80
  240,20171127,  110
  240,20171128,   90
  240,20171129,   40
  240,20171130,   30
  240,20171201,   40
  240,20171202,   40
  240,20171203,   50
  240,20171204,   60
  240,20171205,   70
  240,20171206,   90
  240,20171207,  130
  240,20171208,  110
  240,20171209,  110
  240,20171210,   90
  240,20171211,   90
  240,20171212,   80
  240,20171213,   90
  240,20171214,   90
  240,20171215,   50
  240,20171216,   50
  240,20171217,   80
  240,20171218,   80
  240,20171219,   60
  240,20171220,   40
  240,20171221,   40
  240,20171222,   40
  240,20171223,   90
  240,20171224,  110
  240,20171225,  100
  240,20171226,  120
  240,20171227,   90
  240,20171228,  100
  240,20171229,  110
  240,20171230,  140
  240,20171231,  140
